140,Ministry of Electronics and Information Technology,Develop a ML Model based solution to refine CAPTCHA.,Software,SIH1672,3,Smart Automation,2024-09-12 01:00:56
141,"Ministry of Fisheries, Animal Husbandry and Dairying",Farmers Disease Diagnostic/Reporting Portal - Mobile Portal Al Based,Software,SIH1673,3,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
142,Narcotics Control Bureau (NCB),"Software solutions to identify users behind Telegram, WhatsApp and Instagram based drug trafficking.",Software,SIH1674,4,Blockchain & Cybersecurity,2024-09-12 01:00:56
143,Narcotics Control Bureau (NCB),Software solution to identify the end receiver of a cryptocurrency transaction,Software,SIH1675,3,Blockchain & Cybersecurity,2024-09-12 01:00:56
144,National Technical Research Organisation (NTRO),Web-scrapping tool to be developed to search and report Critical and High Severity Vulnerabilities of OEM equipment (IT and OT) published at respective OEM websites and other relevant web platforms.,Software,SIH1676,0,Blockchain & Cybersecurity,2024-09-12 01:00:56
145,National Technical Research Organisation (NTRO),Developing a tool to provide for real time feeds of cyber incident pertaining to Indian Cyber Space.,Software,SIH1677,1,Blockchain & Cybersecurity,2024-09-12 01:00:56
146,National Technical Research Organisation (NTRO),RE-DACT,Software,SIH1678,1,Blockchain & Cybersecurity,2024-09-12 01:00:56
147,National Technical Research Organisation (NTRO),Development of Audit script for Windows 11 and Linux OS as per CIS (Centre for Internet Security) bench mark,Software,SIH1679,2,Blockchain & Cybersecurity,2024-09-12 01:00:56
148,National Technical Research Organisation (NTRO),Few Shot Language Agnostic Key Word Spotting system (FSLAKWS) for audio files.,Software,SIH1680,0,Smart Automation,2024-09-12 01:00:56
149,National Technical Research Organisation (NTRO),Identification of algorithm from the given dataset using AI/ML Techniques.,Software,SIH1681,1,Blockchain & Cybersecurity,2024-09-12 01:00:56
150,National Technical Research Organisation (NTRO),Centralized Automated Solution for Price Estimation & Reasonability.,Software,SIH1682,1,Smart Automation,2024-09-12 01:00:56
151,National Technical Research Organisation (NTRO),Development of AI/ML based solution for detection of face-swap based deep fake videos,Software,SIH1683,13,Miscellaneous,2024-09-12 01:00:56
152,National Technical Research Organisation (NTRO),Agent-less Windows System Vulnerability and Network Scanner,Software,SIH1684,2,Blockchain & Cybersecurity,2024-09-12 01:00:56
153,National Technical Research Organisation (NTRO),Building Offline Parallel AV Pipeline to cater multiple AVs for CII entities.,Software,SIH1685,0,Smart Automation,2024-09-12 01:00:56
154,National Technical Research Organisation (NTRO),"Tools and techniques for customisation of GPO as per CIS 
guidelines to deploy on offline / standalone windows.",Software,SIH1686,0,Smart Automation,2024-09-12 01:00:56
155,"The National Disaster Response Force (NDRF), MHA",Real-Time Disaster Information Aggregation Software,Software,SIH1687,6,Disaster Management,2024-09-12 01:00:56
156,Ministry of Jal Shakti,Development of handheld device/Mobile based Operation & Maintenance tool for asset & consumables inventories and finance management in context of drinking water supply scheme.,Software,SIH1688,0,Smart Automation,2024-09-12 01:00:56
157,Ministry of Jal Shakti,Use of Digital Technology to calculate Water Footprints for different Agricultural Products,Software,SIH1689,3,Clean & Green Technology,2024-09-12 01:00:56
158,Ministry of Jal Shakti,Use of Digital Knowledge Sharing Platform like Wikis on sharing of water efficient techniques and methods for minimizing water scarcity.,Software,SIH1690,2,Clean & Green Technology,2024-09-12 01:00:56
159,Ministry of Jal Shakti,Adaption of 'Existing Command Area in Response to Shifting of Agricultural Practices,Software,SIH1691,0,Miscellaneous,2024-09-12 01:00:56
160,Ministry of Jal Shakti,Forecasting Future Water Requirements and Assessing Storage Capacities in Reservoirs,Software,SIH1692,1,Smart Education,2024-09-12 01:00:56
161,Ministry of Jal Shakti,Developing a Robust Hydraulic Transient Analysis Model for Hydro Power and Pumped Storage Schemes.,Software,SIH1693,0,Smart Automation,2024-09-12 01:00:56
162,Ministry of Jal Shakti,"Real-time Ganga river water quality forecasting using AI- enabled DSS, satellite data, IoT, and dynamic models.",Software,SIH1694,1,Smart Automation,2024-09-12 01:00:56
163,Ministry of Jal Shakti,"A software application for analysis of DWLR data and raise alarms in respect of anomalous values, faulty DWLRs etc",Software,SIH1695,0,Smart Automation,2024-09-12 01:00:56
164,Ministry of Jal Shakti,A software application - Ground Water Level Predictor,Software,SIH1696,0,Smart Automation,2024-09-12 01:00:56
